scenario_name	variant_ids_json	variant_names_json	dose_names_json	notes	equation_file
base_modeldose_04_0.1 mg/kg single	[]	"[]"	"[""0.1 mg/kg single""]"	Base model with only project dose idx=4 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_04_0_1_mg_kg_single.txt
base_modeldose_05_0.01 mg/kg 4qw	[]	"[]"	"[""0.01 mg/kg 4qw""]"	Base model with only project dose idx=5 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_05_0_01_mg_kg_4qw.txt
base_modeldose_06_0.01 mg/kg 2qw	[]	"[]"	"[""0.01 mg/kg 2qw""]"	Base model with only project dose idx=6 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_06_0_01_mg_kg_2qw.txt
base_modeldose_07_4qw inj	[]	"[]"	"[""4qw inj""]"	Base model with only project dose idx=7 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_07_4qw_inj.txt
base_modeldose_08_single inj	[]	"[]"	"[""single inj""]"	Base model with only project dose idx=8 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_08_single_inj.txt
base_modeldose_09_2qw inj	[]	"[]"	"[""2qw inj""]"	Base model with only project dose idx=9 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_09_2qw_inj.txt
base_modeldose_10_0.01 mg/kg single	[]	"[]"	"[""0.01 mg/kg single""]"	Base model with only project dose idx=10 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_10_0_01_mg_kg_single.txt
base_modeldose_11_0.001 mg/kg single	[]	"[]"	"[""0.001 mg/kg single""]"	Base model with only project dose idx=11 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_11_0_001_mg_kg_single.txt
base_modeldose_12_0.003 mg/kg single	[]	"[]"	"[""0.003 mg/kg single""]"	Base model with only project dose idx=12 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_12_0_003_mg_kg_single.txt
base_modeldose_13_RTX 10 mg/kg 2qw	[]	"[]"	"[""RTX 10 mg/kg 2qw""]"	Base model with only project dose idx=13 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_13_RTX_10_mg_kg_2qw.txt
base_modeldose_14_RTX 10 mg/kg single dose	[]	"[]"	"[""RTX 10 mg/kg single dose""]"	Base model with only project dose idx=14 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_14_RTX_10_mg_kg_single_dose.txt
base_modeldose_15_RTX 0.2 mg/kg 2qw	[]	"[]"	"[""RTX 0.2 mg/kg 2qw""]"	Base model with only project dose idx=15 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_15_RTX_0_2_mg_kg_2qw.txt
base_modeldose_16_RTX 2 mg/kg 2qw	[]	"[]"	"[""RTX 2 mg/kg 2qw""]"	Base model with only project dose idx=16 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_16_RTX_2_mg_kg_2qw.txt
base_modeldose_17_RTX 0.05 mg/kg 2qw	[]	"[]"	"[""RTX 0.05 mg/kg 2qw""]"	Base model with only project dose idx=17 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_17_RTX_0_05_mg_kg_2qw.txt
base_modeldose_18_4qw inj drug	[]	"[]"	"[""4qw inj drug""]"	Base model with only project dose idx=18 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_18_4qw_inj_drug.txt
base_modeldose_19_single inj drug	[]	"[]"	"[""single inj drug""]"	Base model with only project dose idx=19 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_19_single_inj_drug.txt
base_modeldose_20_Blin 15 IV 4w	[]	"[]"	"[""Blin 15 IV 4w""]"	Base model with only project dose idx=20 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_20_Blin_15_IV_4w.txt
base_modeldose_21_Blin 5-15-60 IV 3w	[]	"[]"	"[""Blin 5-15-60 IV 3w""]"	Base model with only project dose idx=21 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_21_Blin_5_15_60_IV_3w.txt
base_modeldose_22_Blin 60 IV 3w	[]	"[]"	"[""Blin 60 IV 3w""]"	Base model with only project dose idx=22 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_22_Blin_60_IV_3w.txt
base_modeldose_23_8q3w inj	[]	"[]"	"[""8q3w inj""]"	Base model with only project dose idx=23 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_23_8q3w_inj.txt
base_modeldose_24_8q3w inj drug	[]	"[]"	"[""8q3w inj drug""]"	Base model with only project dose idx=24 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_24_8q3w_inj_drug.txt
base_modeldose_25_TDB 0.05 mg 8q3w	[]	"[]"	"[""TDB 0.05 mg 8q3w""]"	Base model with only project dose idx=25 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_25_TDB_0_05_mg_8q3w.txt
base_modeldose_26_TDB 0.2 mg 8q3w	[]	"[]"	"[""TDB 0.2 mg 8q3w""]"	Base model with only project dose idx=26 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_26_TDB_0_2_mg_8q3w.txt
base_modeldose_27_TDB 0.8 mg 8q3w	[]	"[]"	"[""TDB 0.8 mg 8q3w""]"	Base model with only project dose idx=27 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_27_TDB_0_8_mg_8q3w.txt
base_modeldose_28_TDB 1.6 mg 8q3w	[]	"[]"	"[""TDB 1.6 mg 8q3w""]"	Base model with only project dose idx=28 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_28_TDB_1_6_mg_8q3w.txt
base_modeldose_29_TDB 3.2 mg 8q3w	[]	"[]"	"[""TDB 3.2 mg 8q3w""]"	Base model with only project dose idx=29 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_29_TDB_3_2_mg_8q3w.txt
base_modeldose_30_TDB 6.4 mg 8q3w	[]	"[]"	"[""TDB 6.4 mg 8q3w""]"	Base model with only project dose idx=30 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_30_TDB_6_4_mg_8q3w.txt
base_modeldose_31_TDB 12.8 mg 8q3w	[]	"[]"	"[""TDB 12.8 mg 8q3w""]"	Base model with only project dose idx=31 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_31_TDB_12_8_mg_8q3w.txt
base_modeldose_32_TDB 20 mg 8q3w	[]	"[]"	"[""TDB 20 mg 8q3w""]"	Base model with only project dose idx=32 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_32_TDB_20_mg_8q3w.txt
base_modeldose_33_TDB 30 mg 8q3w	[]	"[]"	"[""TDB 30 mg 8q3w""]"	Base model with only project dose idx=33 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_33_TDB_30_mg_8q3w.txt
base_modeldose_34_3qw + 7q3w inj	[]	"[]"	"[""3qw + 7q3w inj""]"	Base model with only project dose idx=34 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_34_3qw_7q3w_inj.txt
base_modeldose_35_3qw + 7q3w inj drug	[]	"[]"	"[""3qw + 7q3w inj drug""]"	Base model with only project dose idx=35 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_35_3qw_7q3w_inj_drug.txt
base_modeldose_36_TDB 20 mg 3qw + 7q3w	[]	"[]"	"[""TDB 20 mg 3qw + 7q3w""]"	Base model with only project dose idx=36 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_36_TDB_20_mg_3qw_7q3w.txt
base_modeldose_37_2qw + 7q3w inj	[]	"[]"	"[""2qw + 7q3w inj""]"	Base model with only project dose idx=37 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_37_2qw_7q3w_inj.txt
base_modeldose_38_2qw + 7q3w inj drug	[]	"[]"	"[""2qw + 7q3w inj drug""]"	Base model with only project dose idx=38 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_38_2qw_7q3w_inj_drug.txt
base_modeldose_39_TDB 20 mg 2qw + 7q3w	[]	"[]"	"[""TDB 20 mg 2qw + 7q3w""]"	Base model with only project dose idx=39 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_39_TDB_20_mg_2qw_7q3w.txt
base_modeldose_40_TDB 20 mg 3qw + 7q3w - flat frac	[]	"[]"	"[""TDB 20 mg 3qw + 7q3w - flat frac""]"	Base model with only project dose idx=40 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_40_TDB_20_mg_3qw_7q3w_flat_frac.txt
base_modeldose_41_Blin 5-15-60 IV 8w	[]	"[]"	"[""Blin 5-15-60 IV 8w""]"	Base model with only project dose idx=41 active.	/Users/shayanhajhashemi/genentech_tce_vpop_translation/generated/model_reconstruction_bundle/equations/base_modeldose_41_Blin_5_15_60_IV_8w.txt
